word,phonetic,meaning
hot,,辣的
spicy,,辣的
salty,,咸的
ily,,油腻的
rich,,浓郁的
flavorful,,有风味的
ripe,,（作物）熟的
fresh,,新鲜的：清新的
light,,清淡的
crunchy,,清脆的
raw,,生的
juicy,,多汁的
moist,,湿润的
dry,,干的
tender,,（肉）嫩的
chewy,,有嚼劲的
creamy,,滑顺的：奶油的
smooth,,顺口的
runny,,稀的；水分过多的
buttery,,奶油味的
crispy,,酥脆的
pan,,平底锅
pot,,锅子
boil,,水煮
bake,,烘焙
fry,,油炸
steam,,蒸
simmer,,小火炖煮
roast,,烘烤
grill,,（在烤架上）烤
stew,,炖；煨
lid,,锅盖
heat,,加热
knife,,刀子
chop,,剁碎
whisk,,打蛋器
season,,调味
marinate,,腌；浸泡
food storage container,,
Mustard,,
Stir,,
blackpepper,,
poach,,是在煮滚的热水中搅拌出旋涡状，将鸡蛋打入旋涡当中，当蛋
mozzarella,,意大利干酪
live,,橄榄
prosciutto,,意式生火腿
gumbo,,秋葵汤
pasta,,意大利面（统称）
spaghetti,,意大利直面
lasagna,,千层面
pesto,,意式青酱
marinara,,意式红酱
risotto,,意式炖饭
pepperoni,,意式腊肠
tiramisu,,提拉米苏
cannoli,,奶油甜馅煎饼卷
yster vermicelli,,仔面线
truffle,,松露
caviar,,鱼子酱
quiche,,法式咸派
escargot,,田螺
paella,,西班牙海鲜饭
fetacheese,,费塔奶酪
spanakopita,,希腊菠菜派
cheese quesadilla,,墨西哥奶酪饼
taco,,塔可（墨西哥夹饼）
baguette,,法国面包
guacamole,,鳄梨酱
burrito,,墨西哥卷饼
curry,,咖哩
hummus,,鹰嘴豆泥
falafel,,中东蔬莱球
latte,,拿铁
barista,,咖啡厅服务生
brew,,煮（咖啡）；泡（茶）
mocha,,摩卡咖啡
cappuccino,,卡布奇诺
frappuccino,,星冰乐
scone,,司康
muffin,,松饼
brownie,,布朗尼
vendor,,摊贩
stall,,摊位，贩卖处
clerk,,店员
customer,,顾客
hygiene,,卫生
combo,,套餐
chips,,薯片
calamari,,炸花枝
milkshake,,奶昔
soda,,汽水
consomme,,清炖肉汤
champagne,,香槟
redwine,,
pumpkin soup,,
macaroni and cheese,,
reserve,,预约
reservation,,订位
party,,一群，一组
chef,,餐厅大厨
server,,（上菜的）侍者
available,,有空位的
terrace,,露天平台
waiter,,女服务生
maitred,,餐厅领班
sommelier,,侍酒师
busboy,,碗盘收拾工
diner,,用餐者
patron,,老主顾，常客
gourmet,,美食家
cup,,茶杯
spoon,,汤匙
fork,,叉子
vegetarian,,素食者
tableware,,餐具（统称）
napkin,,餐巾纸
rare,,一分熟
a lacarte,,单点 22
medium,,五分熟
substitute,,替换 23
portion,,一份，一客
specialty,,特色菜
bottomless,,无限度的
rder,,n.；点餐
refill,,
change,,
check,,支票
leftovers,,剩菜（恒用复数）
pay,,付费
tax,,税
tip,,小费
total,,总价
appreciate,,感激
compliment,,赞美
top-notch,,一流的
complain,,抱怨
dissatisfied,,不满意的
upset,,对....感到不悦的
underdone,,未熟的
fishy,,有味的
rotten,,腐坏的
yuck,,作呕的
disgusting,,恶心的
greet,,问候；打招呼
meet,,认识；遇见
introduce,,介绍
wave,,挥手
hug,,抱；拥抱
fistbump,,碰拳头
reunion,,重逢；聚会
update,,更新近况
recently,,最近
detail,,细节
embrace,,抱；拥抱
goodbye,,再见
plan,,计划
schedule,,计划；日程表
free,,空闲的
convenient,,方便的
decline,,拒绝
ciao,,（非正式）再见
regards,,致意；问候
invite,,邀请
farewell,,告别；辞行
toast,,敬酒；举杯
bravo,,（喝采声）好极了
fault,,过错
mistake,,错误
blame,,指责；归答
apology,,道；意
we,,亏欠
guilty,,内疚的；有罪的
forgive,,原谅
regret,,遗憾；抱怨
responsibility,,责任
thankful,,感谢的
praise,,赞扬
achievement,,成就
congratulations,,n.；恭喜；祝贺
pleasure,,荣幸；乐事
honor,,奖励：荣誉
scold,,责骂：训斥
sorry,,抱的
sweaty,,汗水湿透的
breeze,,微风
windy,,风大的；多风的
foggy,,多雾的
rainy,,多雨的
drizzle,,蒙蒙细雨；下细雨
heavily,,大量地：严重地
hurricane,,风
tornado,,龙卷风
storm,,暴风雨（雪）
snow,,雪；下雪
freezing,,极冷的；极冷地
weather,,天气
forecast,,预测：预报
weatherman,,气象预报员
sunny,,晴朗的
skort,,炙热的；炙热地
muggy,,闷热潮湿的
pleasant,,惬意的；宜人的
cloudy,,多云的
downpour,,倾盆大雨
player,,选手；球员
referee,,裁判员
coach,,教练 ③cheerleader
cheerleader,,啦啦队队员
umpire,,裁判员
ffense,,进攻
defense,,防守
foul,,犯规
score,,比分；得分
tie,,平手；平局
game,,体育赛事
competition,,竞赛
race,,（速度）比赛
championship,,冠军赛
final,,决赛
semifinal,,半决赛
all-star,,全明星的
athlete,,运动员
mascot,,吉祥物
celebrity,,名人；明星
paparazzi,,狗仔队
exclusive,,独家的
popular,,受欢迎的
viral,,广为疯传的
sensational,,轰动的
vernight,,一夜之间的：极快的
hit,,风行一时的事物；点击数
A-list,,一线的；一线明星
has-been,,过气明星
big-headed,,大头症的
subscribe,,追踪订阅
fan,,粉丝
groupie,,追星族
tabloid,,八卦小报
rumor,,谣言
gossip,,八卦传言
scandal,,丑闻
scoop,,独家消息
facelift,,脸部拉皮手术
groom,,新郎
bride,,新娘
honeymoon,,蜜月
anniversary,,纪念日
invitation,,邀请；请帖
reception,,接待处；庆祝会
banquet,,宴会
buffet,,自助餐
altar,,圣坛
tuxedo,,男士晚礼服
bouquet,,捧花；花束
vow,,誓约
bachelor,,单身汉
baet,,单身女子
balloon,,气球
pregnant,,怀孕的
stroller,,婴儿推车
pacifier,,奶嘴
crib,,婴儿床
bottle,,奶瓶
diaper,,尿布
nesie,,
birthday,,生日
throw,,举办
hold,,举办
candle,,蜡烛
present,,礼物
confetti,,五彩纸花
clown,,小丑
pinata,,皮纳塔
gift,,
funeral,,丧礼
casket,,棺材
coffin,,棺材；灵枢
tomb,,坟墓
hearse,,灵车
bury,,埋葬
cremate,,火葬；火化
obituary,,闻
visitation,,吊
wake,,守灵
prayer,,祷文，祷词
eulogy,,颂词；悼文
attend,,出席
condolence,,同情：吊
mourn,,吊念，哀悼
grieve,,悲痛；伤心
tribute,,敬词；敬意
respect,,尊重；敬意
grave,,坟墓
cemetery,,公墓
lovebirds,,热恋情侣
ring,,戒指
gaze,,注视；凝视
wink,,眨眼
flirt,,调情；打情骂俏
admire,,欣赏：爱慕
fancy,,豪华的
lovesick,,害相思病的
lovey-dovey,,多情缠绵的
touchy-feely,,多愁善感的
valentine,,情人
darling,,亲爱的
sweetheart,,甜心
rose,,玫瑰
serenade,,小夜曲
wine,,葡萄酒
diamond,,钻石
grass,,草地
treasure,,宝藏
symbol,,象征
leprechaun,,爱尔兰矮精灵
shamrock,,三叶浆草
legend,,传说
custom,,风俗传统
parade,,游行
festival,,节庆
Irish,,爱尔兰的
Easter,,复活节
bunny,,兔子（儿语）
rabbit,,兔子
dye,,染料；染色
hide,,躲藏；隐藏
hunt,,寻找；搜捕
chocolate,,巧克力
beer,,啤酒
barbecue,,烤肉
picnic,,野餐
right,,权利
equality,,平等
Congress,,国会
declaration,,宣言：声明
independence,,独立
patriotic,,爱国的
flag,,旗帜
stripe,,条纹
star,,星形
found,,创办
salute,,行礼；致敬
holiday,,休假日；假期
celebrate,,庆祝
tradition,,传统
colony,,殖民地
freedom,,自由
liberty,,自由
fireworks,,烟火
statue,,雕像
lrish,,
ghost,,鬼魂
zombie,,僵尸
mummy,,木乃伊
werewolf,,狼人
goblin,,小妖怪
monster,,怪物
skeleton,,骷头
Death,,死神
sickle,,镰刀
carve,,vi.；雕刻
bat,,蝙蝠
cobweb,,蜘蛛网
costume,,特殊服装
coward,,胆小鬼；懦夫
spooky,,阴森恐怖的
frightened,,受惊的；害怕的
haunted,,闹鬼的
creative,,有创意的
pumpkin,,南瓜
pray,,祷告
pie,,派
pea,,豌豆
turkey,,
carrot,,胡萝卜
sauce,,酱汁
casserole,,砂锅菜
wishbone,,叉骨，许愿骨
wild,,野生的
domesticated,,驯养的
baste,,浇涂油脂
harvest,,收获；丰收
pardon,,救免
native,,原住民
feast,,盛宴，大餐
stuffing,,填料
gravy,,
cranberry,,蔓越莓
rnament,,装饰品
eggnog,,蛋奶酒
cinnamon,,肉桂
snowflake,,雪花
carol,,圣诞颂歌
eve,,前夕
crowd,,人群
broadcast,,广播；转播
countdown,,倒数
resolution,,决心；愿望
sunrise,,日出
elf,,小精灵
reindeer,,驯鹿
sled,,雪机
chimney,,烟肉
wreath,,花圈
poinsettia,,圣诞红
mistletoe,,寄生
tinsel,,金属箔
stocking,,长筒袜
screen,,荧幕 ②seat
seat,,座位
aisle,,走道
Orow,,排
blockbuster,,强档片
trailer,,预告片
sequel,,续集
bomb,,大烂片
lame,,差劲的
snack,,点心，零食
churro,,吉事果；西班牙油条
film,,电影；影片
flick,,影片（非正式）
theater,,电影院
ticket,,票
popcorn,,爆米花（不可数）
premiere,,首映
cast,,卡司（演员阵容）
supporting,,配角的
actress,,女演员
effect,,特效
comedy,,喜剧片
tearjerker,,赚人眼泪的电影
drama,,剧情片
documentary,,纪录片
animation,,动画
director,,导演
actor,,（男）演员
leading,,主要的
stand-in,,替身
cameo,,客串
plot,,故事情节
